period,k_hat,c_hat,z_hat,xi_hat,gdp_growth_level,gdp_growth_vol,ulc_growth_level,ulc_growth_vol,inflation_level,inflation_vol,unemp_level,unemp_vol,spread_level,spread_vol,countrycode,pad_1,pad_2,pad_3,pad_4,pad_5
2011Q3,0.0014621709293983765,0.05529988554926746,0.003852348108279036,0.6800186942683473,-0.001439005327725451,0.005066168885918738,0.007722211227179976,0.007228475008965832,0.004261969181061698,0.005398593181118561,4.970786,0.09639930665346302,1.1662800000000002,0.5387612903457516,NLD,0.0,0.0,0.0,0.0,0.0
2011Q4,0.0008985065194858088,0.05122827147604703,0.001806395123272657,0.6376254718411462,-0.005271861114380383,0.005956317608339837,0.01566309588838144,0.008656033139590132,0.0004598246024836161,0.005620325067437442,5.292409,0.15163575509041227,0.933122,0.6074381494759103,NLD,0.0,0.0,0.0,0.0,0.0
2012Q1,0.0001304756291140574,0.040407531846280875,-0.0007112628784357927,0.5124749323365441,-0.0008963281761166231,0.006026726914721318,-0.000999188466201173,0.006803146815411838,0.005585138902572062,0.005603623396732331,5.442308,0.22321691246920694,1.1843439999999998,0.5427484776179471,NLD,0.0,0.0,0.0,0.0,0.0
2012Q2,-0.000535757740303483,0.024351539372393205,-0.003163181650553717,0.3199134693114384,-0.0004955091199710937,0.0054836607545093305,0.00775469011677421,0.006837189212384597,0.011600520673551662,0.005574803841853577,5.689162,0.3215156166444598,1.3633057000000002,0.4708169767494692,NLD,0.0,0.0,0.0,0.0,0.0
2012Q3,-0.0008112875155956156,0.004602085642716247,-0.005023809718978113,0.07582070604260992,-0.004774901249225971,0.0059193065727177726,0.006571162716638046,0.006873325741234607,0.0051082463463267835,0.004435290799832091,5.914639,0.4210430779270295,1.4240881,0.4652544125772329,NLD,0.0,0.0,0.0,0.0,0.0
2012Q4,-0.0008019295374131485,-0.016091265050224735,-0.0060493767853126695,-0.18449256940016434,-0.005537145005683586,0.005319324225340644,0.007997445246814339,0.006926555111652478,0.005877506772144603,0.0043390185499619545,6.234545,0.5227872120902242,1.4645381,0.44968051834964534,NLD,0.0,0.0,0.0,0.0,0.0
2013Q1,-0.0010080493541190783,-0.03375883230113352,-0.006276730834324993,-0.40613184617711,-0.00041654363807874795,0.002322131143525758,0.0037683772143630723,0.004667588230066996,0.006736749845328793,0.004328054503659705,6.669504,0.6325255875686513,1.5332306,0.32558774153219944,NLD,0.0,0.0,0.0,0.0,0.0
2013Q2,-0.0019466876890898988,-0.04436770508073451,-0.005751276301780487,-0.5332337790398404,0.004283220007722743,0.003304445547860417,-0.004551588414458352,0.0061756053233127176,0.00949132842237388,0.003351704893033307,7.114702,0.7235095380922116,1.577873,0.21919735025062548,NLD,0.0,0.0,0.0,0.0,0.0
2013Q3,-0.004098494689794924,-0.044070258081317704,-0.004521909263879696,-0.5126039075976715,0.005026550901183091,0.004104369102735537,-0.002998858372410207,0.00675799656574002,0.005343648538961077,0.0032862930597640336,7.557842,0.8132681067088712,1.9598208000000001,0.2990804062500894,NLD,0.0,0.0,0.0,0.0,0.0
2013Q4,-0.007120411287496381,-0.0337379909894846,-0.002804466984885988,-0.3579369973595365,0.006041411890298054,0.004366892019044382,-0.012298334294935542,0.007171328348460592,-0.006021697974106899,0.005178859593131245,7.629952,0.8437769343914671,1.8887646,0.2606276048527181,NLD,0.0,0.0,0.0,0.0,0.0
2014Q1,-0.00984432431787427,-0.018961714390547613,-0.0009824962715242586,-0.1498299334039491,0.002311664303438654,0.004377721963054912,0.008064395544147285,0.007577046999161401,0.002166006701187939,0.005307043221632479,7.684962,0.801676652243277,1.6378404,0.21522379287758756,NLD,0.0,0.0,0.0,0.0,0.0
2014Q2,-0.01106190981449287,-0.005517537617174995,0.0005547942641395663,0.02842139255273675,0.0032133176453097434,0.004416552522581394,0.0010066599753775218,0.0071833552732595155,0.00840903746611188,0.004842897977282038,7.55344,0.692165055155963,1.4190837,0.20697718019114816,NLD,0.0,0.0,0.0,0.0,0.0
2014Q3,-0.009616599361507328,0.0010270640249547824,0.001432328278941589,0.09660254477403903,-0.0003099701907056662,0.003780002762054781,0.006176138490916028,0.007140384895941224,0.004655124067485694,0.004839272312882472,7.251878,0.5203490789793719,1.0890984000000001,0.273793086147614,NLD,0.0,0.0,0.0,0.0,0.0
2014Q4,-0.005676800675096932,-0.0003659283324584095,0.0015856014841462952,0.04320100639707131,0.013518890789593785,0.004425796265235593,-0.003799574879606471,0.006666614698988198,-0.0061669053579483935,0.006090533306655736,7.174346,0.344496448405367,0.83286213,0.3796107772279516,NLD,0.0,0.0,0.0,0.0,0.0
2015Q1,-0.0007368009224981292,-0.006209167496386669,0.0012601331866873024,-0.07463643378790058,0.003926107593045458,0.00402571216964035,-0.017624634731660205,0.008664776137486917,-0.005198933386999283,0.006513105777798462,7.063281,0.25258047935990446,0.37465053,0.5462151901726516,NLD,0.0,0.0,0.0,0.0,0.0
2015Q2,0.0036547524761850747,-0.01281829461308348,0.0007139699013029641,-0.19680217534792296,0.004245961000989507,0.004026352688247833,0.0036739230517728316,0.00897130874735526,0.015644526640969936,0.007813678813412923,6.90413,0.2919392628130416,0.713859133,0.5786153275181521,NLD,0.0,0.0,0.0,0.0,0.0
2015Q3,0.006001991007871063,-0.016611889222883036,0.00020098010270578465,-0.2649596665573104,0.004748924030143931,0.004024792608726294,-0.0008169372798476626,0.00897758722318365,0.0031869335723533343,0.007732572528027664,6.806328,0.33426034246885233,0.9294837,0.5054154421021514,NLD,0.0,0.0,0.0,0.0,0.0
2015Q4,0.006010085287433589,-0.016457359278394534,-0.00010339447161583865,-0.2624563733309988,0.002350655369795618,0.004061999404805899,0.0035216146187371233,0.00806950903292018,-0.007280154869453104,0.00793128071038207,6.716654,0.345075262910606,0.82084274,0.40074935653178,NLD,0.0,0.0,0.0,0.0,0.0
2016Q1,0.004583778033619507,-0.013668570147858716,-0.00010181820277349856,-0.214281180792384,0.006488060866946421,0.0040455365876907205,0.007148503658985117,0.007944690603719985,-0.005566885377283004,0.008357736205437389,6.436781,0.3479028962515259,0.6317484,0.31181361768650173,NLD,0.0,0.0,0.0,0.0,0.0
2016Q2,0.0026763740683168197,-0.009655920473724322,0.0002997186928818071,-0.1470766353098015,0.007728499653115506,0.004111323941375645,0.0009125839587138529,0.007942906094828683,0.009787811745776365,0.008545389815405934,6.237211,0.35367321930658396,0.6010938,0.2195553220193531,NLD,0.0,0.0,0.0,0.0,0.0
2016Q3,0.0012116034253372154,-0.005788482971929909,0.0011853743274956225,-0.08667547166913554,0.008931754260504743,0.0035592151045571703,-0.0004499426446737953,0.007529549791315452,0.003220688892805912,0.00847568628237075,5.83591,0.4500353022023922,0.3481259,0.21184173681047264,NLD,0.0,0.0,0.0,0.0,0.0
